FETION_FLAG,MOBMAIL_FLAG,MOBNEWS_FLAG,TIMENEWS_FLAG,CR_FLAG,WIRELESS_ADV_USR_FLAG,WIRELESS_MUS_FLAG,CR_BOX_FLAG,PIM_FLAG,SMSRTN_FLAG,HOTEL_PREORD_CALL_FLAG,AER_PREORD_FLAG,MO_CALL_12580_FLAG,MOBPAY_FLAG,MOBDOWN_FLAG,mms_flag,gprs_flag,quanqu_down_flag,khbm
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12066
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,12067
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,12079
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,12086
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12148
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12163
0,0,0,0,1,0,0,0,0,0,,,,,,0,1,0,12170
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12186
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12214
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12231
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,12242
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12245
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,12277
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12289
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12299
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12315
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,12330
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12336
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12337
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12339
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12344
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12350
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12362
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12367
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12371
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12374
0,0,0,0,0,0,0,0,0,0,,,,,,0,1,0,12389
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,12403
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,12404
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,12408
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,12421
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12432
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12437
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12439
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12482
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12486
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12501
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,12529
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12535
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12551
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12605
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12611
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12615
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12640
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12677
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,12684
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12687
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,12698
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,12706
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12727
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12740
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12744
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12769
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12776
